,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Torres Novas ,2010,36825,0,0,13.7,63,23.3,170,586,1.6,0,460,0,-108,106,90,1,12,20823,65,35,27,4,5,3,6481,1,224,2,119,5,13.2,3538,10899,17,29,970,21,2,52,12141,1948,44,876,1231,5,574,25359.7,27167.5,1808,54.1,30.8,6776.2,43.2,2,2
Torres Novas ,2019,34952,0,129.5,12.3,62.2,25.5,207,538,1.5,226,504,0,-278,71,64,1,12,21166,25,19,11,4,6,3,5176,0,0,2,25,3,0,0,0,0,0,0,13,2,43,11921,2256,46,393,665,3,534,0,0,0,0,24.3,0,87.2,0,10
Torres Vedras ,2010,79281,0,0,15.9,65.4,18.8,118,3887,4.9,0,892,0,-115,315,230,3,25,45151,180,60,60,9,12,6,15477,1,319,1,0,5,8.4,9987,27653,5,15,907,37,15,117,18623,3016,32,1977,3072,6,728,41277.5,37462,-3815,41.2,33.5,4390.9,50.8,5,13
Torres Vedras ,2019,78375,0,192.5,13.7,65.2,21.1,154,4151,5.3,680,898,0,-218,286,150,3,25,46042,65,52,44,9,11,7,13853,1,37,1,377,5,0,0,0,0,0,0,22,16,87,21399,3609,37,1038,1782,3,715,0,0,0,0,25.1,0,94.1,0,26
Trancoso ,2010,9986,0,0,11.4,60.1,28.5,250,132,1.3,0,174,0,-127,45,9,0,6,8313,20,9,6,2,3,2,2474,0,0,0,0,0,11.2,892,2211,17,30,804,6,2,10,3620,395,46,291,225,4,152,10186.8,10895.5,709,87.6,24.6,2822,29.9,5,1
Trancoso ,2019,8911,0,24.6,8.6,60.3,31.1,361,83,0.9,34,142,0,-108,36,14,0,6,8455,11,8,5,2,3,2,1155,0,0,1,1,1,0,0,0,0,0,0,6,2,11,3003,413,42,123,170,3,200,0,0,0,0,22.3,0,35.2,0,10
Trofa ,2010,39015,0,0,15.8,71.7,12.5,79,688,1.8,0,255,0,102,183,100,1,8,15566,57,20,20,4,5,2,7945,0,0,0,0,0,4.3,3960,15970,8,26,950,20,2,47,6373,582,21,2820,3748,13,385,17211,18248.7,1038,55.3,26.6,4956.6,54.8,6,1
Trofa ,2019,38368,0,532.7,12.9,69,18.1,141,523,1.4,279,296,10.8,-17,160,70,1,8,15892,18,20,17,4,4,3,5254,0,0,0,0,0,0,0,0,0,0,0,11,1,39,9823,710,31,712,1149,4,340,0,0,0,0,21.9,0,49.8,0,3
Vagos ,2010,22848,0,0,15.2,66.4,18.3,120,450,2,0,193,0,-2,105,56,0,7,12664,82,20,20,2,4,3,4446,0,0,0,0,0,10.9,2521,5975,11,14,847,9,6,29,5598,470,31,366,845,6,201,12000.7,12501.6,501,60.9,35.4,3347.4,50.4,2,2
Vagos ,2019,22713,0,137.7,13.1,65.1,21.8,167,544,2.4,201,300,5,-99,105,47,0,7,13136,31,12,10,2,4,3,3272,0,0,0,5,0,0,0,0,0,0,0,9,5,27,5746,583,32,285,459,3,191,0,0,0,0,24.3,0,53.4,0,8
Vale de Cambra ,2010,23036,0,0,12.8,67.2,20,156,298,1.3,0,222,0,-45,106,76,0,6,11839,34,27,19,2,2,1,3701,0,0,0,0,0,8.9,2243,8414,25,36,966,12,1,31,6942,635,38,398,774,5,218,15148,15936.4,788,58.9,22.2,4736.8,64.3,5,3
Vale de Cambra ,2019,21363,0,145,10.7,63.9,25.4,238,291,1.4,141,232,0,-91,94,38,0,6,11997,12,14,10,2,2,1,2730,0,0,1,3,0,0,0,0,0,0,0,8,1,25,7326,698,42,209,385,3,196,0,0,0,0,22,0,71.4,0,11
Valença ,2010,14161,0,0,13.4,64.9,21.7,162,571,4,0,152,0,-41,30,39,0,3,8103,39,10,8,1,2,2,2114,1,321,0,0,0,2.8,1535,4790,18,35,848,14,1,18,4048,703,39,456,646,7,329,13941.7,14497.6,556,70.7,63.4,4379.7,34.5,4,7
Valença ,2019,13287,0,113.4,11.3,63.7,25,222,546,4.1,91,178,0,-87,29,34,0,3,8327,32,9,7,1,1,2,1634,1,401,1,33,0,0,0,0,0,0,0,9,1,14,3886,772,39,272,362,4,281,0,0,0,0,44.1,0,178.1,0,14
Valongo ,2010,93632,0,0,16.7,70.6,12.7,76,917,1,0,588,0,429,357,289,1,18,40346,102,50,34,9,11,4,18696,0,0,1,179,0,4.8,8959,22725,9,27,917,38,2,85,20048,3416,30,9905,7751,12,869,38463.6,38125.1,-339,47,29.2,3096.4,100.3,11,1
Valongo ,2019,97007,0,1291.4,14.2,67.7,18,126,1277,1.3,794,679,0,115,360,238,3,18,40984,33,47,34,10,13,6,13229,0,0,1,137,0,0,0,0,0,0,0,20,2,74,23587,3944,33,3959,3938,6,536,0,0,0,0,22.8,0,130.9,0,9
Valpaços ,2010,17104,0,0,10.5,58.6,30.9,294,256,1.5,0,286,0,-203,55,44,0,7,13231,39,18,17,2,3,1,2303,0,0,0,0,0,2.6,1394,2485,7,18,715,10,3,15,6706,685,49,976,927,9,240,17422.1,17540.5,118,79.1,35.7,2294.7,30.8,3,3
Valpaços ,2019,14875,0,27.1,8.6,56.1,35.3,412,169,1.1,72,284,0,-212,33,21,0,7,13480,26,8,4,2,2,1,1361,0,0,0,1,0,0,0,0,0,0,0,7,3,13,5900,778,49,634,491,6,215,0,0,0,0,28.8,0,44,0,5
Velas ,2010,5436,0,0,14.5,68.1,17.4,120,55,1,0,82,0,-44,20,5,0,2,3077,6,8,7,1,1,2,988,0,0,0,0,0,3.4,550,1275,19,48,0,4,1,11,1306,269,34,465,121,3,89,5524.3,6206.1,682,87.1,35.3,3286.6,0,7,2
