,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Espinho ,2010,31983,0,0,13.3,67.6,19.1,143,669,2.1,0,311,0,-74,232,97,1,9,15738,16,19,16,4,7,6,7595,1,51,1,74,1,10.9,3456,8692,19,32,855,20,1,47,10061,1645,42,1750,3441,16,652,22899.1,24130.7,1232,43.5,41.1,3242.7,119.3,4,5
Espinho ,2019,29500,0,1400.8,11.2,62.8,26,231,764,2.6,215,356,9.3,-141,185,56,2,10,16025,15,11,6,5,7,6,6275,0,0,1,107,1,0,0,0,0,0,0,12,1,37,10784,1911,48,1267,1515,8,523,0,0,0,0,34.4,0,117.7,0,12
Esposende ,2010,34315,0,0,17.1,69.2,13.7,80,401,1.2,0,274,0,54,175,66,2,8,20904,158,23,24,4,6,2,7247,0,0,2,0,1,7.5,3948,11945,8,30,781,18,2,44,7169,883,28,579,1391,6,165,16764.5,18630.6,1866,54.3,37.4,3521.9,76.6,14,8
Esposende ,2019,34117,0,357.6,14.1,68.4,17.5,125,673,2,279,286,0,-7,148,50,2,8,21561,53,23,19,4,6,2,5120,0,0,2,85,0,0,0,0,0,0,0,11,2,34,8001,1078,31,118,650,3,202,0,0,0,0,25.4,0,99.5,0,21
Estarreja ,2010,27094,0,0,14.9,66.1,19,128,290,1.1,0,302,0,-67,97,61,1,6,12796,52,21,15,3,4,1,5050,0,0,1,111,2,18.2,2555,7466,15,52,1047,12,2,28,7454,760,36,1247,1312,7,245,20562.7,21084.6,522,52.6,45.9,21855,54.4,5,2
Estarreja ,2019,25986,0,240.2,12.6,65.6,21.8,173,537,2.1,196,288,0,-92,91,36,1,6,13162,31,15,8,3,3,1,3788,0,0,2,171,2,0,0,0,0,0,0,7,2,26,7483,858,37,820,738,4,223,0,0,0,0,31.6,0,57,0,3
Estremoz ,2010,14415,0,0,11.7,59.9,28.4,243,372,2.6,0,216,0,-124,50,39,0,7,9434,10,13,14,2,3,2,3193,0,0,0,0,0,5.6,1817,3850,7,16,860,6,4,19,5419,774,49,778,551,6,284,15590,14329.4,-1261,73.9,22.3,3625.1,63.1,4,8
Estremoz ,2019,12772,0,24.9,11,59.3,29.7,269,324,2.5,90,210,0,-120,38,26,0,7,9507,7,10,9,1,2,1,1794,0,0,1,26,1,0,0,0,0,0,0,7,4,20,4953,927,52,464,356,5,313,0,0,0,0,25.1,0,105.1,0,17
Évora ,2010,56716,0,0,14.5,66,19.5,134,1875,3.3,0,612,0,-107,228,151,3,22,29136,69,36,28,5,8,5,11851,2,8119,3,243,2,10.1,6984,16978,12,22,992,40,5,106,16114,4953,43,2455,2655,7,1204,41773.5,43457.5,1684,54.1,35.6,5110.4,66.7,7,16
Évora ,2019,52441,0,40.1,13.7,62.9,23.4,170,2152,4.1,484,674,2.1,-190,176,98,2,22,29853,46,33,23,5,10,5,9844,5,6947,5,353,7,0,0,0,0,0,0,27,4,86,15697,5546,47,1158,1436,4,993,0,0,0,0,27.6,0,161.4,0,55
Fafe ,2010,50890,0,0,15.7,69,15.3,98,167,0.3,0,472,0,-18,204,112,1,9,25133,139,35,28,6,8,2,9805,2,594,1,0,0,8,4396,14884,7,11,708,14,1,39,13432,1236,34,2551,3835,11,519,30228.2,33947,3719,63.6,35.8,2976,40.6,9,2
Fafe ,2019,48166,0,219.9,12.1,67.9,20,165,308,0.6,333,449,0,-116,152,84,0,9,26080,67,28,22,6,7,3,6981,2,498,0,40,0,0,0,0,0,0,0,10,1,36,14604,1479,38,586,1927,6,456,0,0,0,0,25.8,0,69.4,0,16
Faro ,2010,64316,0,0,15.4,67.5,17.1,111,7196,11.2,0,609,0,68,338,193,2,18,37731,38,28,23,9,9,6,13472,8,8086,2,33,10,12.4,9294,22443,5,14,1068,52,6,128,14395,4609,35,2889,3149,7,923,27536.6,30989.7,3453,39.1,53.6,4590.6,149.7,4,21
Faro ,2019,60995,0,301.1,15.6,62.6,21.9,140,8663,14.2,674,664,1.5,10,172,92,2,17,38125,3,32,24,8,10,5,11688,8,7940,2,390,6,0,0,0,0,0,0,30,5,98,15310,5020,39,1356,1298,3,787,0,0,0,0,54.1,0,172.2,0,63
Felgueiras ,2010,58231,0,0,17.6,70.7,11.7,66,231,0.4,0,377,0,125,241,121,1,12,24236,116,42,40,5,8,5,14710,2,1348,0,0,0,10.2,5067,25567,4,6,691,23,5,48,11763,892,26,2198,3505,9,757,35298.9,34616.6,-682,61.4,38.4,3418.7,15,4,3
Felgueiras ,2019,56499,0,488.2,13,71.1,15.9,122,336,0.6,444,416,4.5,28,227,88,1,12,24745,30,38,29,7,9,6,8864,1,1471,0,211,0,0,0,0,0,0,0,18,5,45,13346,1050,29,891,1828,5,671,0,0,0,0,23.3,0,30.4,0,6
Ferreira do Alentejo ,2010,8316,0,0,12.3,62.3,25.4,206,259,3.1,0,131,0,-61,23,21,1,7,5154,7,10,8,1,1,1,1015,0,0,0,0,1,9.9,1009,2175,18,25,915,3,1,10,3307,359,50,559,482,9,277,11419.8,11313.9,-106,76.5,26.7,4282.2,48.8,4,3
Ferreira do Alentejo ,2019,7847,0,12.1,12.6,62.1,25.3,201,596,7.6,51,133,0,-82,15,10,0,7,5225,13,7,6,1,1,1,833,0,0,1,0,0,0,0,0,0,0,0,2,1,12,2918,402,48,212,233,5,220,0,0,0,0,36.7,0,103.1,0,13
Ferreira do Zêzere ,2010,8679,0,0,13,59.2,27.8,213,165,1.9,0,149,0,-98,36,20,0,4,7500,31,8,7,1,1,1,1191,0,0,0,0,0,3.8,753,2081,19,46,750,3,1,7,3426,299,50,234,219,4,146,11373.4,9790.8,-1583,73.3,37.2,4554.7,42.5,6,2
Ferreira do Zêzere ,2019,7974,0,41.9,10.4,62.2,27.4,263,367,4.6,39,129,25.6,-90,27,10,0,4,7603,5,3,2,1,1,1,888,0,0,0,12,0,0,0,0,0,0,0,2,1,7,3172,367,49,102,136,3,129,0,0,0,0,19.3,0,117.8,0,13
Figueira da Foz ,2010,62329,0,0,13.5,64.9,21.6,160,1972,3.2,0,730,0,-217,240,181,1,23,43180,126,37,41,5,9,5,10596,0,0,1,514,5,12,6648,19312,10,48,1090,27,4,83,18022,3519,40,2818,3400,8,580,27169.4,30293.2,3124,43.5,37.7,22597.7,58.7,14,19
Figueira da Foz ,2019,58807,0,155.1,11.8,62.8,25.4,216,2300,3.9,396,766,0,-370,207,111,1,24,44038,42,36,31,4,8,5,8184,0,0,1,174,7,0,0,0,0,0,0,19,4,75,18616,4000,44,1435,1966,5,556,0,0,0,0,25.7,0,99.9,0,39
Figueira de Castelo Rodrigo ,2010,6333,0,0,11.1,57.6,31.3,281,67,1.1,0,129,0,-89,20,2,0,3,5395,10,7,2,1,1,1,794,0,0,0,0,0,15.2,592,1057,10,32,883,4,1,8,2351,487,51,510,210,6,134,8567.4,8785.3,218,83.5,27.3,2943.8,32.2,8,3
Figueira de Castelo Rodrigo ,2019,5618,0,11,10.8,57.9,31.2,288,46,0.8,23,123,0,-100,5,4,0,3,5451,13,5,4,1,1,1,530,0,0,0,1,0,0,0,0,0,0,0,3,1,8,1948,476,49,284,192,6,186,0,0,0,0,25.5,0,48.9,0,13
Figueiró dos Vinhos ,2010,6254,0,0,11.1,59.6,29.3,264,66,1.1,0,99,0,-67,20,10,0,6,4853,10,5,3,1,1,1,904,0,0,0,0,0,11.2,625,1137,9,26,768,2,1,5,2567,357,53,472,374,10,192,6320.3,6639.7,319,81.2,32.5,2762.6,42.9,8,0
Figueiró dos Vinhos ,2019,5588,0,32.2,9.5,58.6,31.9,336,232,4.2,34,109,29.4,-75,12,9,0,6,4899,6,5,3,1,1,1,574,0,0,1,57,0,0,0,0,0,0,0,2,1,6,2327,363,53,159,179,5,176,0,0,0,0,23.4,0,52.1,0,7
Fornos de Algodres ,2010,5040,0,0,11.8,59.6,28.6,241,16,0.3,0,102,0,-78,10,4,0,2,4038,10,11,2,1,1,1,764,0,0,0,0,0,3.7,417,967,13,22,708,2,1,4,1829,270,48,305,246,8,112,24738.2,6029.6,-18709,74.9,20.8,2550.7,29.4,3,0
Fornos de Algodres ,2019,4545,0,34.6,9.7,63.4,26.9,278,49,1.1,22,89,0,-67,6,8,0,2,4088,2,4,2,1,1,1,574,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1601,275,46,87,157,5,85,0,0,0,0,13,0,73.1,0,8
Freixo de Espada à Cinta ,2010,3819,0,0,11.5,55.4,33.1,288,95,2.5,0,79,0,-56,18,3,0,1,3135,10,6,1,1,1,0,385,0,0,0,0,1,5.5,287,658,36,57,671,2,1,3,1519,335,55,85,220,10,184,7715.1,9164.5,1449,91.5,25.9,2910.2,30.4,3,0
Freixo de Espada à Cinta ,2019,3305,0,13.5,10.4,59,30.6,295,108,3.3,23,60,0,-37,5,7,0,1,3172,2,3,1,1,1,0,292,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1296,308,54,155,191,10,169,0,0,0,0,32.1,0,42.7,0,7
Fronteira ,2010,3450,0,0,12.2,60.9,26.8,219,89,2.6,0,63,0,-51,11,3,0,3,2595,6,3,2,1,1,1,627,0,0,0,0,0,28.8,370,775,15,28,788,2,2,4,1409,182,53,146,194,9,93,5593,5501.3,-92,82.3,18.6,3531.6,109,3,1
Fronteira ,2019,2980,0,12,11.1,59.7,29.2,263,70,2.3,17,52,0,-35,4,1,0,3,2606,1,3,2,1,1,0,317,0,0,1,0,0,0,0,0,0,0,0,1,2,4,1255,209,55,50,122,7,107,0,0,0,0,19.1,0,106.4,0,7
Funchal ,2010,111795,0,0,15.5,69.8,14.7,95,4527,4,0,1164,0,-177,514,273,9,27,51775,113,71,46,14,19,22,27107,4,3574,8,519,13,7,11985,45843,8,16,1075,101,0,190,28211,6413,36,4805,6208,8,1744,72530.2,78261.1,5731,29.4,33.9,3760,93.5,25,100
Funchal ,2019,104077,0,1366.6,12.4,68.6,18.9,152,4549,4.4,743,1235,2.7,-492,444,227,10,28,52922,50,52,35,12,13,15,23656,8,3237,12,813,13,0,0,0,0,0,0,50,1,160,29033,7438,40,3380,0,0,1606,0,0,0,0,32.5,0,211.2,0,171
Fundão ,2010,29432,0,0,12.3,60.8,26.9,219,456,1.5,0,425,0,-241,114,63,1,10,21961,53,26,24,4,7,3,4737,0,0,1,0,0,6.4,2827,7108,6,13,787,13,3,39,10267,1304,45,1124,1594,9,273,22092.8,24670.8,2578,57.2,26.4,3785.8,33.6,2,5
Fundão ,2019,26607,0,38,10.5,60.7,28.8,274,920,3.5,130,423,0,-293,67,48,1,10,22344,38,22,23,4,6,3,3360,0,0,1,189,0,0,0,0,0,0,0,8,3,37,9320,1405,45,871,810,5,316,0,0,0,0,42.1,0,38,0,15
Gavião ,2010,4185,0,0,8.7,52.3,39,448,24,0.6,0,88,0,-64,10,3,0,4,3592,3,4,3,1,1,0,364,0,0,0,0,0,3.6,303,591,14,32,739,2,1,6,2259,338,68,210,204,9,134,6210.3,6635.6,425,80.1,19.1,2794,84.8,8,0
Gavião ,2019,3305,0,11.2,8.3,56.1,35.6,429,16,0.5,10,102,0,-92,10,7,0,4,3619,0,4,2,1,1,0,297,0,0,1,10,0,0,0,0,0,0,0,2,1,6,1837,337,73,98,84,5,150,0,0,0,0,26,0,78.7,0,4
Góis ,2010,4313,0,0,11.5,55.9,32.6,282,99,2.3,0,98,0,-78,16,10,0,3,5167,12,5,4,1,1,0,449,0,0,0,0,0,23.1,378,995,26,47,705,1,1,4,2000,269,60,159,128,5,159,7466.7,7838.5,372,77.2,30.4,2756,40.3,5,0
Góis ,2019,3815,0,14.5,10,59.8,30.2,304,266,7,17,69,0,-52,8,9,0,3,5202,4,4,3,1,1,0,278,0,0,0,26,0,0,0,0,0,0,0,1,1,4,1732,283,59,80,121,5,191,0,0,0,0,25.2,0,49,0,5
Golegã ,2010,5488,0,0,13.6,63.3,23.1,169,42,0.8,0,77,0,-42,32,12,0,3,3113,13,3,2,1,1,1,747,0,0,0,0,0,7.7,530,1218,15,38,789,3,2,6,2129,325,52,156,204,6,147,6170.7,6230.9,60,71,38.1,4841.4,50.3,4,1
Golegã ,2019,5357,0,63.5,11.5,61.4,27.1,235,73,1.4,36,95,0,-59,36,5,0,3,3145,6,3,2,1,1,1,627,0,0,2,0,0,0,0,0,0,0,0,2,1,7,2142,396,54,77,82,2,145,0,0,0,0,25.4,0,100.2,0,11
Gondomar ,2010,168278,0,0,15.5,70.4,14.1,91,1533,0.9,0,1250,0,248,498,501,1,32,73257,154,68,67,11,16,7,26661,0,0,0,11,12,8.9,14882,33395,3,29,868,50,2,115,39473,6375,32,16111,12037,10,1854,65199.4,65006,-193,44.3,30.4,2610.5,51,11,1
Gondomar ,2019,165808,0,1256.9,12.8,67.4,19.8,154,2489,1.5,1345,1441,3,-96,404,401,0,33,74163,40,69,50,12,16,8,20459,0,0,2,76,12,0,0,0,0,0,0,29,2,99,44898,7525,36,7288,6170,6,1473,0,0,0,0,22.8,0,93.7,0,11
Gouveia ,2010,14212,0,0,10.9,58.4,30.7,282,140,1,0,248,0,-181,44,28,0,7,11165,16,17,9,2,2,2,2182,0,0,3,53,1,7.5,1212,2563,8,21,735,5,3,18,6017,732,54,738,844,10,185,9917.6,11461.4,1544,79.1,24.3,2899.7,27.9,6,3
Gouveia ,2019,12437,0,41.4,8.9,57.5,33.6,378,211,1.7,69,229,0,-160,32,21,0,7,11343,20,14,8,2,3,2,1488,0,0,3,1,0,0,0,0,0,0,0,4,3,15,5453,827,56,422,409,6,215,0,0,0,0,27.3,0,53,0,12
Grândola ,2010,14902,0,0,12.8,61.9,25.3,197,533,3.6,0,227,0,-111,42,35,0,5,12025,57,11,10,1,2,2,2815,0,0,0,71,0,9.7,1943,3656,10,15,912,7,3,23,6040,679,52,653,379,4,428,28134.5,25400.5,-2734,34.6,32.3,4511.4,76.4,3,8
Grândola ,2019,14605,0,17.7,11.9,62.5,25.6,215,676,4.6,89,191,11.2,-102,42,22,0,5,12425,42,10,9,1,3,2,2115,0,0,1,70,1,0,0,0,0,0,0,5,3,20,4915,768,44,277,310,3,481,0,0,0,0,39.9,0,153,0,34
Guarda ,2010,42748,0,0,14,66,20.1,144,674,1.6,0,473,0,-174,188,89,2,13,27779,59,32,26,4,6,3,9164,3,2541,1,249,4,10.9,4509,11062,7,27,894,27,2,72,11638,2823,39,1578,2120,8,596,25130.2,28977,3847,62.2,24.7,4248.1,34.4,8,6
Guarda ,2019,39036,0,54.8,11.6,65.3,23.1,199,951,2.4,271,490,3.7,-219,131,87,2,13,27903,2,28,25,5,5,4,6286,3,2590,1,201,5,0,0,0,0,0,0,15,2,55,11016,3204,41,1096,1220,5,583,0,0,0,0,24.8,0,48.7,0,19
Guimarães ,2010,158611,0,0,15.9,71.1,12.9,81,1330,0.8,0,1084,0,285,643,373,2,33,66572,275,95,84,17,20,8,29868,1,115,5,104,12,8.2,14228,61346,4,7,806,69,3,180,39308,3091,32,4835,12855,11,1638,79868.3,77554.2,-2314,55.3,33.8,5264.7,61.6,5,13
Guimarães ,2019,152551,0,633,12.8,69.1,18.1,141,2267,1.5,1255,1268,1.6,-13,278,319,2,35,68694,192,85,61,17,19,11,21981,1,20,5,380,12,0,0,0,0,0,0,44,1,155,44720,3699,36,1284,5591,5,1623,0,0,0,0,21,0,84.1,0,49
Horta ,2010,15006,0,0,16.1,68.9,14.9,92,556,3.7,0,147,0,5,58,46,1,5,7034,16,13,12,1,1,2,2629,0,0,2,0,2,6.8,2148,3938,8,13,0,12,1,26,3407,1295,37,903,391,4,192,9866.2,10249.9,384,69,38.1,3192.4,0,31,6
Horta ,2019,14532,0,84,14,68.4,17.6,126,627,4.3,122,142,8.2,-20,43,25,1,5,7168,20,12,10,1,1,2,2421,0,0,3,42,0,0,0,0,0,0,0,7,1,25,3294,1386,37,369,0,0,151,0,0,0,0,36.7,0,118,0,46
Idanha-a-Nova ,2010,9883,0,0,9.5,47.9,42.5,446,255,2.6,0,278,0,-229,28,18,0,8,11817,26,10,6,1,1,2,1351,1,759,1,0,1,12,879,1734,16,26,741,2,3,12,4808,1156,68,378,386,8,266,15825.3,15944.8,120,81.7,45.6,3632.9,4,6,7
Idanha-a-Nova ,2019,8100,0,5.7,9.3,50.8,39.9,427,459,5.7,46,210,0,-164,14,10,0,8,11935,14,9,5,1,2,2,964,1,498,0,3,1,0,0,0,0,0,0,1,3,12,3701,1036,65,362,336,8,296,0,0,0,0,40.1,0,67.9,0,25
Ílhavo ,2010,38583,0,0,15.9,68.2,15.9,100,1105,2.9,0,298,0,68,98,133,0,8,21886,115,23,19,3,5,2,5926,0,0,2,0,0,6.7,3945,12277,21,25,1001,17,2,33,9003,1592,33,1138,2045,8,409,28645.1,30698.3,2053,42.3,45.9,5635.3,89.5,6,6
Ílhavo ,2019,38552,0,524.7,13.7,66.7,19.6,143,1225,3.2,357,362,2.8,-5,72,77,0,8,22433,42,25,18,3,4,2,4729,0,0,2,221,0,0,0,0,0,0,0,12,1,39,9761,1791,35,780,1196,5,318,0,0,0,0,27.6,0,74.2,0,13
Lagoa ,2010,22878,0,0,16.7,66.1,17.2,103,4146,18.1,0,183,0,48,62,60,0,7,19558,49,13,9,4,5,2,3867,0,0,0,106,0,19.5,3215,8579,9,16,943,18,4,40,4994,816,30,998,1386,9,489,28147.3,27207.2,-940,17.5,70.7,6204.7,371.5,6,33
Lagoa ,2019,22755,0,257.8,14.5,64.4,21,145,4776,21,215,243,0,-28,101,44,0,8,19836,38,12,8,4,5,2,3513,0,0,0,109,0,0,0,0,0,0,0,10,4,29,5636,957,34,468,769,5,404,0,0,0,0,49.7,0,398,0,68
Lagoa [R.A.A.] ,2010,14428,0,0,21.2,68.7,10.1,48,114,0.8,0,94,0,104,54,45,0,3,5038,27,12,10,1,1,2,2869,1,229,0,0,0,7.5,1146,2636,14,24,0,6,1,12,0,366,0,2156,364,4,125,10676.6,10825.4,149,65.4,51.6,2463.8,30.2,4,5
Lagoa [R.A.A.] ,2019,14701,0,322.5,17.1,70.7,12.3,72,141,1,127,106,0,21,118,31,0,5,5249,21,10,8,2,2,2,2617,0,0,2,63,0,0,0,0,0,0,0,5,1,12,2295,467,23,1643,0,0,134,0,0,0,0,28.4,0,285.4,0,11
Lagos ,2010,30767,0,0,16.9,64.4,18.7,111,7065,23,0,257,0,91,169,78,2,8,26928,57,14,17,3,5,3,6662,0,0,2,160,0,15.7,4458,10694,4,14,866,20,4,57,6968,1477,33,1393,1791,9,795,37058.7,37305.1,246,23.9,55.8,5000.5,228.2,8,34
Lagos ,2019,30408,0,142.8,14.6,64.2,21.2,146,9759,32.1,282,367,0,-85,87,55,1,8,27829,86,15,14,4,6,3,5401,0,0,2,145,2,0,0,0,0,0,0,11,4,45,7355,1709,35,367,973,5,743,0,0,0,0,44.8,0,304.1,0,129
Lajes das Flores ,2010,1514,0,0,13.8,65.5,20.7,149,82,5.4,0,15,0,-2,7,4,0,0,994,3,1,1,1,0,0,0,0,0,0,0,0,1.4,297,380,12,51,0,3,0,2,386,78,36,48,24,2,45,5540.1,6473.2,933,78.8,29.7,2518.1,0,0,0
Lajes das Flores ,2019,1464,0,20.9,11.7,67.8,20.6,177,112,7.7,15,24,66.7,-9,4,5,0,0,1018,5,1,1,1,0,0,93,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,94,0,28,0,0,74,0,0,0,0,28.7,0,179,0,9
Lajes do Pico ,2010,4734,0,0,13.4,65.1,21.5,160,78,1.6,0,49,0,-15,19,9,0,2,3145,8,9,8,1,1,1,739,0,0,1,0,0,14.7,688,1073,12,27,0,5,1,9,1581,274,45,243,99,3,79,10292.1,6927.6,-3364,91.2,14.4,2768.3,2.3,1,2
Lajes do Pico ,2019,4494,0,28.9,12,64.4,23.6,197,163,3.6,34,48,0,-14,22,6,0,2,3252,7,4,3,2,1,1,604,0,0,1,1,0,0,0,0,0,0,0,3,1,12,1464,319,45,88,0,0,108,0,0,0,0,21.8,0,61.4,0,15
Lamego ,2010,26872,0,0,14.3,66.2,19.6,137,128,0.5,0,314,0,-130,111,52,1,10,16282,113,33,26,4,6,6,5563,2,816,1,0,0,10.3,2375,5639,11,23,811,12,3,28,6893,1515,37,1871,1772,10,273,19540.7,20484.3,944,60.2,20.5,2840.8,40.7,5,8
Lamego ,2019,24927,0,150.7,10.7,66.5,22.8,212,137,0.5,150,281,0,-131,88,51,1,12,16894,28,16,7,3,4,6,3854,1,510,1,93,1,0,0,0,0,0,0,8,3,24,6810,1770,39,821,1753,11,285,0,0,0,0,18.7,0,45.3,0,31
Leiria ,2010,126722,0,0,15.6,67.9,16.5,105,5178,4.1,0,1025,0,128,484,341,2,32,67105,234,98,95,14,15,9,24839,4,7438,7,438,17,10.7,16432,52496,5,9,984,90,10,176,29801,5090,33,3455,4490,5,738,54397.6,57280.2,2883,44.2,32.2,5676.3,79,10,23
Leiria ,2019,125062,0,221.3,13.6,65.9,20.5,151,6142,4.9,1062,1220,3.8,-158,387,225,3,33,68925,124,94,69,14,16,9,19565,4,8285,8,464,17,0,0,0,0,0,0,55,11,132,32803,5864,36,1242,2464,3,662,0,0,0,0,26.2,0,86.6,0,31
Lisboa ,2010,549210,0,0,12.9,61.2,25.9,200,43142,7.9,0,7586,0,-1350,2813,1337,39,286,322304,42,278,202,85,97,73,126022,74,119302,42,7781,80,7.8,100307,584866,10,20,1575,739,5,1574,194522,95445,61,28260,23716,7,9983,564333,600698.2,36365,13.7,76.9,6315.4,102.5,15,193
Lisboa ,2019,508368,0,5081.1,16.5,55.2,28.3,172,98151,19.3,5926,6601,3.7,-675,2628,859,33,259,323915,15,276,188,88,101,76,118076,66,120696,45,7525,72,0,0,0,0,0,0,496,5,1185,155318,96938,59,19212,15841,6,7668,0,0,0,0,69.1,0,186.6,0,713
Loulé ,2010,70099,0,0,16,65.3,18.7,117,13472,19.2,0,684,0,97,202,179,0,14,65495,183,32,33,10,10,5,13832,1,631,2,0,0,5.9,10658,31062,7,10,966,61,5,115,14224,1826,27,2345,3699,8,1828,97666.8,82321.9,-15345,20.7,67.8,7059.7,251,10,64
Loulé ,2019,68785,0,90.1,15.1,63.8,21.2,140,17452,25.4,670,785,3,-115,247,111,1,15,66467,30,38,27,8,10,4,11833,0,0,2,260,5,0,0,0,0,0,0,38,5,106,15610,2205,31,1030,1907,4,1718,0,0,0,0,56.4,0,341.9,0,124
Loures ,2010,204740,0,0,15.6,67.5,16.9,109,18683,9.1,0,1684,0,703,859,559,1,44,98962,205,94,74,17,23,10,32693,0,0,0,0,7,3.9,20473,69128,9,12,1097,90,7,230,57238,12810,40,9475,8663,6,2206,102663.4,105528.6,2865,33.3,40.4,4444.3,72.4,10,2
Loures ,2019,212523,0,1270.8,15.8,62.3,21.8,138,19649,9.2,2250,1855,3.1,395,400,413,2,52,100541,108,91,65,16,22,10,29146,0,0,3,165,7,0,0,0,0,0,0,45,7,177,55492,14013,39,4816,5312,4,2403,0,0,0,0,26.7,0,89.2,0,5
Lourinhã ,2010,25677,0,0,16,65.7,18.3,115,1231,4.8,0,291,0,-63,94,79,0,6,16952,111,21,21,3,3,1,4347,0,0,1,0,0,4,3222,7822,9,20,794,11,11,39,6852,793,35,894,1059,6,369,20889.1,20875,-14,44,31.9,3376.4,54.7,5,3
Lourinhã ,2019,25763,0,175.1,14,65.5,20.5,146,1299,5,223,313,0,-90,88,54,0,6,17504,22,15,15,3,3,1,3489,0,0,1,18,0,0,0,0,0,0,0,8,11,35,7364,1045,38,462,570,3,489,0,0,0,0,22.3,0,101.3,0,17
Lousã ,2010,17544,0,0,17,66.4,16.6,98,510,2.9,0,167,0,10,72,48,0,3,10567,43,12,12,1,2,2,3195,0,0,1,0,0,20,1697,3989,14,34,846,6,1,17,4650,853,38,809,763,7,260,11786.2,12206.5,420,55.8,32.7,3784.5,52.4,10,2
Lousã ,2019,17143,0,123.9,14.1,66,19.9,142,494,2.9,104,156,0,-52,40,35,0,4,10715,10,7,4,2,2,2,2539,0,0,1,33,0,0,0,0,0,0,0,6,1,17,4761,992,39,453,473,4,189,0,0,0,0,21.2,0,79.8,0,11
Lousada ,2010,47381,0,0,19,70.7,10.3,54,213,0.4,0,306,0,174,173,110,0,8,18610,93,36,35,5,6,4,10443,0,0,0,0,0,5.1,3691,16033,7,11,692,11,1,34,8464,898,24,3101,2807,8,742,30949.4,29155.3,-1794,69,24.1,2869.5,17.4,4,2
Lousada ,2019,46773,0,486.8,14.3,71.8,13.9,98,241,0.5,395,364,0,31,180,93,0,9,19413,83,28,27,7,8,5,7483,0,0,0,76,0,0,0,0,0,0,0,7,1,32,9736,1060,27,950,1416,4,676,0,0,0,0,19.5,0,63.6,0,8
Mação ,2010,7451,0,0,9.5,52.2,38.3,401,83,1.1,0,177,0,-151,8,10,0,5,6996,8,6,6,1,1,1,1426,0,0,1,0,0,9.6,610,1502,9,32,755,3,2,9,3666,548,63,125,130,3,209,9171.7,9330.1,158,77.8,23.5,3931.2,74.4,4,0
Mação ,2019,6295,0,15.7,7.4,56.9,35.8,486,108,1.7,25,127,0,-102,10,9,0,5,7070,6,3,2,1,1,1,641,0,0,1,1,0,0,0,0,0,0,0,2,2,7,3084,546,63,96,152,4,200,0,0,0,0,27.5,0,67,0,7
Macedo de Cavaleiros ,2010,15923,0,0,12,60.7,27.3,228,137,0.9,0,209,0,-116,55,33,1,4,11641,48,13,6,2,2,1,2492,2,527,2,0,0,7,1601,2826,5,19,778,9,2,18,5093,796,42,556,814,8,311,14973.2,16411.4,1438,72.1,29.4,3051.5,35.6,4,2
Macedo de Cavaleiros ,2019,14533,0,20.8,9.1,59.3,31.7,349,189,1.3,73,222,0,-149,33,22,1,4,11881,15,8,4,1,1,2,1690,0,0,2,1,0,0,0,0,0,0,0,8,2,17,4718,908,43,438,531,6,259,0,0,0,0,26.8,0,46,0,19
Machico ,2010,21889,0,0,16.4,70.9,12.7,78,201,0.9,0,191,0,-11,103,41,0,5,9841,34,13,8,3,3,1,4071,0,0,1,45,0,20.8,1421,3871,8,27,953,12,0,26,5474,820,34,896,1639,11,207,11251.4,11992.6,741,59.8,33.3,3151.6,57.5,15,10
